地名,センター（center.csvを使わない場合は空白化）,燃やせるごみ,燃やせないごみ,プラスチック,ペットボトル,缶・びん,古紙・布類,蛍光管等
塚原,由布大分環境衛生組合,火 金,金3,月2 月4,水1,水3,土2 土4,金3
津江(中道・枝温湯),由布大分環境衛生組合,火 金,金1,月1 月3,水1,水3,土2 土4,金1
津江(中道・枝温湯以外),由布大分環境衛生組合,火 金,金3,月2 月4,水1,水3,土2 土4,金3
岳本,由布大分環境衛生組合,火 金,金3,月2 月4,水1,水3,土2 土4,金3
湯の坪(坪池・田中),由布大分環境衛生組合,火 金,金1,月1 月3,水1,水3,土2 土4,金1
湯の坪(坪池・田中以外),由布大分環境衛生組合,火 金,金3,月2 月4,水1,水3,土2 土4,金3
中島,由布大分環境衛生組合,火 金,金3,月2 月4,水1,水3,土2 土4,金3
佐土原,由布大分環境衛生組合,火 金,金3,月2 月4,水1,水3,土2 土4,金3
並柳,由布大分環境衛生組合,火 金,金3,月2 月4,水1,水3,土2 土4,金3
若杉,由布大分環境衛生組合,火 金,金3,月2 月4,水1,水3,土2 土4,金3
乙丸(南の下を除く）,由布大分環境衛生組合,火 金,金1,月2 月4,水1,水3,土2 土4,金1
乙丸(南の下),由布大分環境衛生組合,火 金,金3,月1 月3,水1,水3,土2 土4,金3
新町1・2,由布大分環境衛生組合,火 金,金1,月1 月3,水1,水3,土2 土4,金1
荒木(妙徳・横断道路沿い),由布大分環境衛生組合,火 金,金1,月1 月3,水1,水3,土2 土4,金1
荒木(妙徳・横断道路沿い以外),由布大分環境衛生組合,月 木,金4,木2 木4,水2,水4,土2 土4,金4
石武,由布大分環境衛生組合,月 木,金4,木2 木4,水2,水4,土2 土4,金4
光永,由布大分環境衛生組合,月 木,金4,木2 木4,水2,水4,土2 土4,金4
前徳野,由布大分環境衛生組合,月 木,金4,木2 木4,水2,水4,土2 土4,金4
下津々良,由布大分環境衛生組合,月 木,金4,木2 木4,水2,水4,土2 土4,金4
鮎川,由布大分環境衛生組合,月 木,金4,木2 木4,水2,水4,土2 土4,金4
畑,由布大分環境衛生組合,月 木,金4,木2 木4,水2,水4,土2 土4,金4
小平,由布大分環境衛生組合,月 木,金4,木2 木4,水2,水4,土2 土4,金4
幸野,由布大分環境衛生組合,月 木,金4,木2 木4,水2,水4,土2 土4,金4
水地,由布大分環境衛生組合,月 木,金4,木2 木4,水2,水4,土2 土4,金4
由布高原,由布大分環境衛生組合,月 木,金4,木2 木4,水2,水4,土2 土4,金4
湯平1・2・3,由布大分環境衛生組合,月 木,金4,木2 木4,水2,水4,土2 土4,金4
東石松,由布大分環境衛生組合,月 木,金2,木1 木3,水2,水4,土2 土4,金2
西石松,由布大分環境衛生組合,月 木,金2,木1 木3,水2,水4,土2 土4,金2
山崎,由布大分環境衛生組合,月 木,金2,木1 木3,水2,水4,土2 土4,金2
平,由布大分環境衛生組合,月 木,金2,木1 木3,水2,水4,土2 土4,金2
中依,由布大分環境衛生組合,月 木,金2,木1 木3,水2,水4,土2 土4,金2
下依,由布大分環境衛生組合,月 木,金2,木1 木3,水2,水4,土2 土4,金2
内徳野,由布大分環境衛生組合,月 木,金2,木1 木3,水2,水4,土2 土4,金2
槐木,由布大分環境衛生組合,月 木,金2,木1 木3,水2,水4,土2 土4,金2
畑倉,由布大分環境衛生組合,月 木,金2,木1 木3,水2,水4,土2 土4,金2
奥江,由布大分環境衛生組合,月 木,金2,木1 木3,水2,水4,土2 土4,金2
上津々良,由布大分環境衛生組合,月 木,金2,木1 木3,水2,水4,土2 土4,金2
